| Phase   | Activity                                                                                                       | Responsible            | Outcome                 | Effort % | Notes / Tools / Risks                         |
| ------- | -------------------------------------------------------------------------------------------------------------- | ---------------------- | ----------------------- | -------- | --------------------------------------------- |
| Prepare | Establish governance model, define RACI, and finalize detailed project plan with milestones and delivery model | Project Manager        | Approved execution plan | 4%       | **Risk: unclear governance delays decisions** |
| Prepare | Provision S/4HANA system landscape (DEV, QAS, PRD) and configure transport routes using TMS                    | Basis                  | Landscape ready         | 4%       | **Tool: STMS**                                |
| Prepare | Configure client settings, user roles, authorizations, and transport layers                                    | Basis                  | System baseline         | 3%       | **TCode: SCC4, SU01, PFCG**                   |
| Prepare | Define data migration approach including object scoping, sequencing, and legacy system connectivity            | Technical              | Migration strategy      | 4%       | **Tool: Migration Cockpit**                   |
| Prepare | Define integration architecture including middleware selection and communication protocols                     | Integration            | Integration baseline    | 3%       | **Tool: SAP Integration Suite**               |
| Explore | Conduct fit-to-standard workshops in DEV system using SAP Best Practices and capture delta requirements        | Functional             | Gap list                | 6%       | **Accelerator: SAP Best Practices**           |
| Explore | Configure baseline business processes in DEV system to validate standard process fitment                       | Functional             | Validated flows         | 5%       | **Risk: over-customization**                  |
| Explore | Finalize functional and technical design including WRICEF object identification and approvals                  | Functional + Technical | Signed-off design       | 5%       | **Risk: scope creep**                         |
| Explore | Define data migration objects, mappings, and transformation logic                                              | Technical              | Migration repository    | 4%       |                                               |
| Explore | Conduct design authority reviews and obtain formal customer sign-off on solution scope                         | Customer + PM          | Design baseline locked  | 5%       | **Risk: sign-off delays**                     |
| Realize | Configure business processes in DEV using IMG and transport configurations to QAS                              | Functional             | Configured solution     | 6%       | **TCode: SPRO**                               |
| Realize | Develop WRICEF objects in DEV and transport to QAS following transport management procedures                   | Technical              | Custom developments     | 7%       |                                               |
| Realize | Execute data migration mock cycles into QAS using Migration Cockpit and validate results                       | Technical              | Validated data          | 6%       |                                               |
| Realize | Build and validate integration interfaces using middleware and APIs across systems                             | Integration            | Integrated system       | 5%       |                                               |
| Realize | Execute unit testing in DEV and SIT in QAS including end-to-end validation scenarios                           | All                    | Tested solution         | 5%       |                                               |
| Realize | Execute UAT cycles in QAS, manage defect resolution, and obtain formal customer sign-off                       | Customer + Functional  | UAT sign-off            | 6%       | **Critical dependency**                       |
| Deploy  | Execute cutover plan including transport movement from QAS to PRD and production readiness validation          | PM + Basis             | Go-live readiness       | 4%       |                                               |
| Deploy  | Perform final data migration into PRD system and execute reconciliation checks                                 | Technical              | Production data ready   | 4%       | **Risk: data inconsistency**                  |
| Deploy  | Conduct go-live readiness assessment including business, integration, and technical validation                 | PM + All               | Go-live approval        | 3%       |                                               |
| Deploy  | Execute go-live with command center support and hypercare stabilization in PRD                                 | All                    | Stable production       | 3%       | **Accelerator: war room**                     |
| Run     | Establish AMS support model including SLA definition and ticketing processes                                   | PM + Customer          | Support model           | 3%       | **Tool: ServiceNow**                          |
| Run     | Execute knowledge transfer to AMS team including functional, technical, and operational areas                  | Functional + Technical | KT completed            | 2%       |                                               |
| Run     | Transition system ownership to AMS and execute continuous improvements and support                             | Support                | Stable operations       | 2%       |                                               |
